"year","pgcasmin","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1999","(1b) general elementary school","higher education","","","","","","","","",""
"1999","(1b) general elementary school","higher vocational","","","","","","","","",""
"1999","(1b) general elementary school","in school","","","","","","","","",""
"1999","(1b) general elementary school","inadequately","","","","","","","","",""
"1999","(1b) general elementary school","middle vocational","","","","","","","","",""
"1999","(1b) general elementary school","vocational + Abi","","","","","","","","",""
"1999","(1c) basic vocational qualification","general elemantary","","","","","","","","",""
"1999","(1c) basic vocational qualification","higher education","","","","","","","","",""
"1999","(1c) basic vocational qualification","higher vocational","","","","","","","","",""
"1999","(1c) basic vocational qualification","in school","","","","","","","","",""
"1999","(1c) basic vocational qualification","inadequately","","","","","","","","",""
"1999","(1c) basic vocational qualification","middle vocational","","","","","","","","",""
"1999","(1c) basic vocational qualification","vocational + Abi","","","","","","","","",""
"1999","(2a) intermediate vocational","general elemantary","","","","","","","","",""
"1999","(2a) intermediate vocational","higher education","","","","","","","","",""
"1999","(2a) intermediate vocational","higher vocational","","","","","","","","",""
"1999","(2a) intermediate vocational","in school","","","","","","","","",""
"1999","(2a) intermediate vocational","inadequately","","","","","","","","",""
"1999","(2a) intermediate vocational","middle vocational","","","","","","","","",""
"1999","(2a) intermediate vocational","vocational + Abi","","","","","","","","",""
"1999","(2b) intermediate general qualification","general elemantary","","","","","","","","",""
"1999","(2b) intermediate general qualification","higher education","","","","","","","","",""
"1999","(2b) intermediate general qualification","higher vocational","","","","","","","","",""
"1999","(2b) intermediate general qualification","in school","","","","","","","","",""
"1999","(2b) intermediate general qualification","inadequately","","","","","","","","",""
"1999","(2b) intermediate general qualification","middle vocational","","","","","","","","",""
"1999","(2b) intermediate general qualification","vocational + Abi","","","","","","","","",""
"1999","(2c_gen) general maturity certificate","general elemantary","","","","","","","","",""
"1999","(2c_gen) general maturity certificate","higher education","","","","","","","","",""
"1999","(2c_gen) general maturity certificate","higher vocational","","","","","","","","",""
"1999","(2c_gen) general maturity certificate","in school","","","","","","","","",""
"1999","(2c_gen) general maturity certificate","inadequately","","","","","","","","",""
"1999","(2c_gen) general maturity certificate","middle vocational","","","","","","","","",""
"1999","(2c_gen) general maturity certificate","vocational + Abi","","","","","","","","",""
"1999","(2c_voc) vocational maturity certificate","general elemantary","","","","","","","","",""
"1999","(2c_voc) vocational maturity certificate","higher education","","","","","","","","",""
"1999","(2c_voc) vocational maturity certificate","higher vocational","","","","","","","","",""
"1999","(2c_voc) vocational maturity certificate","in school","","","","","","","","",""
"1999","(2c_voc) vocational maturity certificate","inadequately","","","","","","","","",""
"1999","(2c_voc) vocational maturity certificate","middle vocational","","","","","","","","",""
"1999","(2c_voc) vocational maturity certificate","vocational + Abi","","","","","","","","",""
"1999","(3a) lower tertiary education","general elemantary","","","","","","","","",""
"1999","(3a) lower tertiary education","higher education","","","","","","","","",""
"1999","(3a) lower tertiary education","higher vocational","","","","","","","","",""
"1999","(3a) lower tertiary education","in school","","","","","","","","",""
"1999","(3a) lower tertiary education","inadequately","","","","","","","","",""
"1999","(3a) lower tertiary education","middle vocational","","","","","","","","",""
"1999","(3a) lower tertiary education","vocational + Abi","","","","","","","","",""
"1999","(3b) higher tertiary education","general elemantary","","","","","","","","",""
"1999","(3b) higher tertiary education","higher education","","","","","","","","",""
"1999","(3b) higher tertiary education","higher vocational","","","","","","","","",""
"1999","(3b) higher tertiary education","in school","","","","","","","","",""
"1999","(3b) higher tertiary education","inadequately","","","","","","","","",""
"1999","(3b) higher tertiary education","middle vocational","","","","","","","","",""
"1999","(3b) higher tertiary education","vocational + Abi","","","","","","","","",""
"2000","(0) in school","general elemantary","","","","","","","","",""
"2000","(0) in school","higher education","","","","","","","","",""
"2000","(0) in school","higher vocational","","","","","","","","",""
"2000","(0) in school","in school","","","","","","","","",""
"2000","(0) in school","inadequately","","","","","","","","",""
"2000","(0) in school","middle vocational","","","","","","","","",""
"2000","(0) in school","vocational + Abi","","","","","","","","",""
"2000","(1a) inadequately completed","general elemantary","","","","","","","","",""
"2000","(1a) inadequately completed","higher education","","","","","","","","",""
"2000","(1a) inadequately completed","higher vocational","","","","","","","","",""
"2000","(1a) inadequately completed","in school","","","","","","","","",""
"2000","(1a) inadequately completed","inadequately","","","","","","","","",""
"2000","(1a) inadequately completed","middle vocational","","","","","","","","",""
"2000","(1a) inadequately completed","vocational + Abi","","","","","","","","",""
"2000","(1b) general elementary school","general elemantary","","","","","","","","",""
"2000","(1b) general elementary school","higher education","","","","","","","","",""
"2000","(1b) general elementary school","higher vocational","","","","","","","","",""
"2000","(1b) general elementary school","in school","","","","","","","","",""
"2000","(1b) general elementary school","inadequately","","","","","","","","",""
"2000","(1b) general elementary school","middle vocational","","","","","","","","",""
"2000","(1b) general elementary school","vocational + Abi","","","","","","","","",""
"2000","(1c) basic vocational qualification","general elemantary","","","","","","","","",""
"2000","(1c) basic vocational qualification","higher education","","","","","","","","",""
"2000","(1c) basic vocational qualification","higher vocational","","","","","","","","",""
"2000","(1c) basic vocational qualification","in school","","","","","","","","",""
"2000","(1c) basic vocational qualification","inadequately","","","","","","","","",""
"2000","(1c) basic vocational qualification","middle vocational","","","","","","","","",""
"2000","(1c) basic vocational qualification","vocational + Abi","","","","","","","","",""
"2000","(2a) intermediate vocational","general elemantary","","","","","","","","",""
